SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.1500, 15, 1.00394964, -0.06300536, 0.09444365, -9.97512913, 0.12855944, -6.64635754, 79.39199066, -3.18620276, 87.69365692, 135.89013672, 83.38292694, 87.14862061, 0.62805659, -0.32925847, -0.65799558, 0.25332907, -0.01064645, -0.01758237, -0.01165291, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.02788368, -0.84530276, -0.15498132, 3.09863925, 31.63615990, 27.98015213, -59.51476288, -28.17889404, -73.48728180, 90.28507233, -11.05635452, 85.81834412, -0.46772298, 0.56304365, 0.43060783, 0.52800941, -0.21794301, -0.13645580, 0.16005464, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, 0.14221618, -0.86036479, -0.12180341, 5.61094141, 44.71709061, 17.93493080, -59.36860657, -26.77579689, -73.86728668, 90.25312042, -11.23779392, 86.27326965, -0.46493685, 0.56188053, 0.43180606, 0.53072351, -0.33609092, -0.12065064, 0.12634930, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1600, 16, 1.00990057, -0.04871794, 0.09156013, -9.84896469, -0.40478715, -6.54876661, 78.86582947, -3.06927800, 88.48290253, 136.17515564, 83.43128967, 87.53469086, 0.62821770, -0.32833353, -0.65837896, 0.25313392, -0.01650159, -0.03086617, -0.00894697, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1700, 17, 1.00667107, -0.04619654, 0.09010655, -9.06631279, -0.83936673, -6.30572319, 78.28120422, -3.21543407, 87.92750549, 136.43144226, 83.48088074, 87.88390350, 0.62838608, -0.32745549, -0.65871364, 0.25298268, -0.01317378, -0.03240871, -0.00774103, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, 0.20918494, -0.85813558, -0.10514013, 6.83229351, 56.09873581, 5.60813427, -59.63168716, -28.12043190, -73.10727692, 90.20962524, -11.29614639, 86.84506226, -0.46222293, 0.55976361, 0.43411794, 0.53343832, -0.40484700, -0.12252814, 0.10902879, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1800, 18, 1.00346100, -0.04585919, 0.09478554, -8.17617798, -1.29665172, -5.71381092, 79.68430328, -3.21543407, 87.37211609, 136.72299194, 83.53388214, 88.26226807, 0.62853009, -0.32658464, -0.65904278, 0.25289354, -0.00986473, -0.03178937, -0.01270571, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, 0.22660977, -0.86240000, -0.11947730, 6.77495432, 66.52870178, -5.89169502, -59.63168716, -28.12043190, -73.10727692, 90.14467621, -11.23930073, 87.52362061, -0.45963839, 0.55670667, 0.43739665, 0.53618515, -0.42206553, -0.11830811, 0.12240379, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1900, 19, 1.00699067, -0.04505218, 0.09272701, -9.74761009, -2.66337419, -4.59507608, 79.42121887, -3.01081562, 87.31365204, 136.76029968, 83.58481598, 88.39792633, 0.62885934, -0.32572675, -0.65924251, 0.25266066, -0.01328990, -0.03172268, -0.01109271, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2000, 20, 0.99618608, -0.03429361, 0.09228528, -9.26562881, -2.93348336, -3.82906866, 79.42121887, -3.01081562, 87.31365204, 136.73719788, 83.63243103, 88.46793365, 0.62920684, -0.32493311, -0.65939444, 0.25242102, -0.00238909, -0.04191256, -0.01129047, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2100, 21, 0.99381620, -0.04550599, 0.08121607, -7.54379034, -2.85953689, -3.38029957, 78.60274506, -3.06927800, 87.51826477, 136.70677185, 83.67636871, 88.51322174, 0.62951058, -0.32426131, -0.65949923, 0.25225350, 0.00006805, -0.03019830, -0.00082440, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2200, 22, 0.99259663, -0.07071354, 0.08042359, -7.29620075, -2.23259091, -2.93379426, 79.18737030, -3.33235884, 87.98596954, 136.68841553, 83.71275330, 88.56817627, 0.62978083, -0.32364237, -0.65961999, 0.25205788, 0.00136431, -0.00455717, -0.00057370, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, 0.17446265, -0.88790888, -0.13205682, 5.67800856, 75.53875732, -16.69034195, -59.80707169, -26.92195320, -74.01344299, 90.04514313, -11.05747986, 88.31236267, -0.45727402, 0.55258733, 0.44162625, 0.53899360, -0.36768031, -0.09324528, 0.13356724, 0.00000000, 0.00000000, 0.00000000, 0.00000000
